algorithm_name,env_n,size,best_solution,H,states,time
SA,14,4,"[2, 0, 3, 1]",0,12,5.0067901611328125e-05
SA,15,4,"[1, 3, 0, 2]",0,97,0.00030231475830078125
SA,16,4,"[2, 0, 3, 1]",0,99,0.0003085136413574219
SA,17,4,"[1, 3, 0, 2]",0,43,0.0001392364501953125
SA,18,4,"[2, 0, 3, 1]",0,82,0.00025177001953125
SA,19,4,"[1, 3, 0, 2]",0,34,0.00011420249938964844
SA,20,4,"[2, 0, 3, 1]",0,13,4.9591064453125e-05
SA,21,4,"[2, 0, 3, 1]",0,70,0.00022411346435546875
SA,22,4,"[1, 3, 0, 2]",0,9,3.1948089599609375e-05
SA,23,4,"[1, 3, 0, 2]",0,52,0.00017070770263671875
SA,24,4,"[2, 0, 3, 1]",0,84,0.0002560615539550781
SA,25,4,"[1, 3, 0, 2]",0,51,0.00017523765563964844
SA,26,4,"[2, 0, 3, 1]",0,73,0.0002455711364746094
SA,27,4,"[2, 0, 3, 1]",0,150,0.0004334449768066406
SA,28,4,"[2, 0, 3, 1]",0,46,0.00015234947204589844
SA,29,4,"[1, 3, 0, 2]",0,47,0.00016045570373535156
SA,0,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,148,0.0008549690246582031
SA,1,8,"[1, 4, 0, 3, 5, 7, 2, 6]",1,272,0.0014920234680175781
SA,2,8,"[4, 0, 7, 5, 1, 2, 6, 3]",1,312,0.0017082691192626953
SA,3,8,"[5, 0, 2, 6, 3, 1, 7, 4]",1,180,0.0009958744049072266
SA,4,8,"[2, 7, 3, 7, 2, 4, 6, 0]",2,95,0.0005512237548828125
SA,5,8,"[1, 5, 2, 0, 7, 7, 4, 6]",1,243,0.0013089179992675781
SA,6,8,"[2, 5, 1, 6, 0, 5, 7, 4]",1,114,0.0006449222564697266
